RecordedDate,Survey 1,Suvery 1 Q3,RecordedDate,Survey 2,Survey 2 Q13,RecordedDate,Survey 3,Survey 3 Q3,RecordedDate,Survey 4,Survey 4 Q3,,Start Time,Participant ID,Baseline,Anticipatory,Experience,Post-Event,,Participant ID,Base to Anti,Anti to Exp,Exp to Post
Recorded Date,Participant ID,I feel Calm vs Anxious,Recorded Date,Participant ID,I feel Calm vs Anxious,Recorded Date,PID,"When my feelings were the most intense during the last experience, I felt.. Calm vs Anxious",Recorded Date,Participant ID,"Looking back on the last experience, I feel... Calm vs Anxious",,,,,,,,,,,,
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",{"ImportId":"QID9_TEXT"},{"ImportId":"QID1_3"},"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",{"ImportId":"QID21_TEXT"},{"ImportId":"QID16_1"},"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",{"ImportId":"QID21_TEXT"},{"ImportId":"QID4_1"},"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",{"ImportId":"QID19_TEXT"},{"ImportId":"QID4_1"},,,,,,,,,,,,
11/21/2019 7:23,1,3,,,,11/21/2019 7:46,1,1,11/21/2019 7:51,1,2,,11/21/2019 7:23,1,3,,1,2,,1_video solo,#N/A,#N/A,1
11/21/2019 7:43,1,2,11/21/2019 7:58,1,2,11/21/2019 8:05,1,3,11/21/2019 8:10,1,2,,11/21/2019 7:43,1,2,2,3,2,,1_Dyad noeval,0,1,-1
11/21/2019 8:19,1_Dyad eval,1,11/21/2019 8:25,1-Dayad eval.,4,11/21/2019 8:33,1,3,11/21/2019 8:37,1,2,,11/21/2019 8:19,1_Dyad eval,1,4,3,2,,1_Dyad eval,3,-1,-1
,,,,,,,,,,,,,,,,,,,,,,,
11/21/2019 7:36,2,3,11/21/2019 7:36,2,3,,,,11/21/2019 7:49,2,2,,11/21/2019 7:36,2,3,3,,2,,2,0,#N/A,#N/A
11/21/2019 7:41,2 dyad noeval,2,11/21/2019 7:58,2 dyad noeval,3,11/21/2019 7:59,2,2,11/21/2019 8:10,2,3,,11/21/2019 7:41,2 dyad noeval,2,3,2,3,,2 dyad noeval,1,-1,1
11/21/2019 8:17,2 dyad eval,2,11/21/2019 8:24,2 dyad eval,3,11/21/2019 8:24,2,1,11/21/2019 8:37,2,3,,11/21/2019 8:17,2 dyad eval,2,3,1,3,,2 dyad eval,1,-2,2
,,,,,,,,,,,,,,,,,,,,,,,
,,,11/21/2019 7:29,3,2,11/21/2019 7:34,3,2,11/21/2019 7:40,3,2,,,,,2,2,2,,,#N/A,0,0
11/21/2019 7:30,3,3,11/21/2019 7:47,3,3,11/21/2019 7:56,3,2,11/21/2019 8:00,3,2,,11/21/2019 7:30,3,3,3,2,2,,3,0,-1,0
11/21/2019 7:52,3,2,11/21/2019 8:08,3,2,11/21/2019 8:17,3,2,11/21/2019 8:21,3,2,,11/21/2019 7:52,3,2,2,2,2,,3,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
11/21/2019 7:23,4,3,11/21/2019 7:25,4,4,11/21/2019 7:32,4,2,11/21/2019 7:33,4,2,,11/21/2019 7:23,4,3,4,2,2,,4,1,-2,0
11/21/2019 7:38,4,4,11/21/2019 7:41,4,4,11/21/2019 7:56,4,4,11/21/2019 7:57,4,3,,11/21/2019 7:38,4,4,4,4,3,,4,0,0,-1
11/21/2019 8:03,4,1,11/21/2019 8:09,4,2,,,,11/21/2019 8:20,4,2,,11/21/2019 8:03,4,1,2,,2,,4,1,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,
11/21/2019 8:03,5,4,11/21/2019 7:58,5,4,,,,11/21/2019 8:10,5,4,,11/21/2019 8:03,5,4,4,,4,,5,0,#N/A,#N/A
11/21/2019 8:19,5,4,11/21/2019 8:29,5,2,,,,11/21/2019 8:43,5,4,,11/21/2019 8:19,5,4,2,,4,,5,-2,#N/A,#N/A
11/21/2019 8:45,5,4,11/21/2019 8:50,5,4,11/21/2019 8:55,5,3,11/21/2019 9:00,5,2,,11/21/2019 8:45,5,4,4,3,2,,5,0,-1,-1
,,,,,,,,,,,,,,,,,,,,,,,
11/21/2019 7:45,6,3,11/21/2019 7:55,6,1,11/21/2019 8:02,6,2,11/21/2019 8:07,6,1,,11/21/2019 7:45,6,3,1,2,1,,6,-2,1,-1
11/21/2019 8:18,6,2,11/21/2019 8:29,6,1,11/21/2019 8:37,6,1,11/21/2019 8:43,6,1,,11/21/2019 8:18,6,2,1,1,1,,6,-1,0,0
11/21/2019 8:45,6,1,11/21/2019 8:50,6,1,11/21/2019 8:56,6,1,11/21/2019 9:00,6,1,,11/21/2019 8:45,6,1,1,1,1,,6,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Duplicates/Errors,,,,,,,,,,,,,,,,,,,,,,,
11/21/2019 8:17,2 evaldyad,2,11/21/2019 7:41,,2,11/21/2019 8:35,?,2,,,,,,,,,,,,,,,
11/21/2019 7:51,3,2,,,,,,,,,,,,,,,,,,,,,
